prototype_index,closest_text
21,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
22,"""-april 20th- unprotected sex
-april 23rd- took plan b (about 60 hours after unprotected sex)  that was the soonest i could get it. eat before you take the pill!  eating before prevents you from being nauseous. i read all sorts of horrible reviews so i was expecting the worst.  right after i took it i instantly became drowsy & increase in appetite.  but that's about it. no nausea, no change in stool, no tender breast, nothing. 
-april 29th- spotting
-april 30th- i started my period today, which is a week early.  but at least i started right!"""
23,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
24,"""works excellent for anxiety. have horrible social anxiety which i also take zoloft for but xanax doesn’t really help with it. not knowing cause my dr’s didn’t tell me but after being on this a while and at a high dose (for me up to 3mg/day) if you don’t take it everyday you feel like rubbish. took me almost 2 years to figure this out so regardless if i need it or not i take maybe 1mg as a maintenance dose in the middle of the day. greatly helps to not feel sick. i also take 30mg of temazepam at night which i thought would cover me. but for the past 10 days my mood has been really bad, the worst in years and a couple mg’s of xanax greatly improves it but wouldn’t recommend it since it’s not prescribed to take it that way"""
25,"""i was diagnosed for ocd 20 years ago, went on zoloft, prozac, paxil and celexa, none of them worked in a long run. so i stop taking meds, but at times, i would get depress for no reason for weeks. i have constant thoughts running in my mind, mostly i am sad, and small things can make me angry, sensitive to sound(phone ringing, door bell, people talking). now i was diagnosed as bi polar,and was put on lamictal 25mg and after 2 weeks increase to 50mg and than 75mg. thoughts process was gone and was feeling happy. anger and sensitivity to sound were still there.
        but 6 weeks on lamictal, i had sore throat and than running nose, sneezing, flu type symptoms and than i notice rash on my chest, so i stop lamictal. anyone with similar experi"""
26,"""works for me.  i do have vivid dreams nothing scary some wonderful but does make me sick.  should be prescribed with weight management medication i hope i am not replacing 1 vice for another."""
27,"""-the mirena iud insertion was about an 8/10 on pain scale. after i left the procedure, i had zero pain that night and wasn't limited in any way. in the weeks following i had minor cramping. i had my period for about two straight months following insertion. 
-i had my mirena inserted in march, and it is now mid-july. i get my period at least once month, sometimes with heavy cramping on day 1.  
-my biggest word of caution is regarding weight gain. post insertion i've had a lot of issues maintaining my weight and i am truly consistent with what i eat. i've gained 10 pounds w/o changing my diet. it is very hard to the lose weight. i'm now 3 mo.  post insertion and my weight has suddenly levelled back out, with no changes to my diet. super weird."""
28,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
29,"""most of my symptoms disappeared! as long as i take as directed, i am pain free!! still have tiredness and occasional low grade fever but no bleeding for three years now."""
30,"""(for male juvenile osteoporosis)

while this medicine did seem to increase my bone density in the long run, the night after caused far more pain then the injury that fractured my spine, though this could be on account of my age. please be sure to check with your doctor over how it may effect you. that being said, calcium supplements and medication over a longer period of time also helped, even without a second reclast treatment."""
31,"""i had been taking plavix without any side effects since experiencing transient ischemic stroke, but was advised by my doctor to try aggrenox because a clotting test raised a question whether plavix was effective. to start with i took one dose per day because i had had been advised to expect headaches until my body adjusted.  i felt my head was going to explode and got extremely nauseated. i took it for three days.  the headaches got worse, and i became nauseous, and my blood pressure went very high. i now list aggrenox as a medication that i am allergic to because of the severe side effects. i continue to use aspirin, plavix and other medications to try to prevent strokes."""
32,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
33,"""i  had   tried   this   product  in   2005.... and   it   was   not   effective.   so  i gave  it   another   chance   to   so   call   redeem  itself.   well,  this   is  definitely   not   for   me,  it   made   me   feel   worst,  i  developed a headache"""
34,"""""i have spondylolisthesis, l4/l5-s1, 2 bulging discs, and stenosis. after my 2nd fusion surgery i was prescribed gabapentin. i found i would forget what i was talking about in the middle of a sentence, and acute disorientation! i remember i had just finished paying for my groceries and the next thing i knew i woke up in the er! i guess i became very disoriented in the store. i was fine after ""waking"" & took a taxi back to the store. i had no clue what had happened! about a week later i was heading to physical therapy, blacked out and hit a tree, totalling my car. i suspected the gabapentin, as that was the only ""new med"" for me. i was told it was making me irritable and combative (still don't remember that). i quit taking it & problem gone!"""
35,"""i've tried several medications for moderate  anxiety and panic attacks. librium has worked the most reliably. xanax and ativan work quickly but are too short acting. klonopin didn't do much for me. librium starts to take effect within about a half hour, makes me calm (not high) and keeps me calm for hours."""
36,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
37,"""i had a bad reaction to this medicine; trouble breathing, tight throat, cold hands and feet, increased pulse, strong headache, then fatigue. it was very frightening, but did go away after several hours."""
38,"""i suffer from chronic back and knee pain. had lower spinal fusion, both knees totally replaced and stenosis in my upper neck that flared up once to the point that the pain was agony! this was the first time i was given an injection of dilaudid as opposed to morphine. morphine has never taken my pain away, it just made me not care that it hurt, and the first time i was injected with dilaudid, the effects the first minute scared me, but i had a great nurse that walked me through everything i was going to experience and assured me that in one min. it would pass and it did and for the first time in 12yrs. after about five mins i had absolutely no pain. also took the pills for about 1 month and worked very well."""
39,"""i had an anaphylactic reaction and a week later still have muscle pains in every muscle, chest pain, 'blocked' ears, metallic taste in my mouth, grey tongue covering, constipation and extremely painful feet, hands and chest.  this drug is poison to my system.  it will be in my body for over a year.  will these symptoms eventually ease?"""
40,"""very poor results

if you have a sluggish colon (as i do) i do not recommend this product - as ""great-tasting"" as it is.

this was my 2nd colonoscopy and i failed it in spite of 1 week of miralax 2x a day, and a 2 day liquid diet - 3 days liquid and put myself on a 3 days low-residue diet.

i had read how pleasant tasting the prep was and yes folks, it taste like the powdered ""tang"". followed by the standard for colonoscopy preps - lots of water, which wasn't difficult as i usually drink a minimum of 8-10 ounce glasses a day i thought i was completely clear but noooooo - still going! thumbs down. back to gag go-lightly next time (with a compazine to prevent nausea. doctor gave me the prep - fortunately, didn't have to buy it."""
41,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
42,"""took one, waited about 45 minutes, there was some minor cramping right before i had to go, went to the bathroom and was hard pushing it out but it did come and now i feel so relieved and overall would recommend it."""
43,"""i have copd. i can't use a nebulizer with albuterol because i get severe headaches from it. i have tried five different prescribed inhalers but none worked as well as primatene. i have used spiriva and advair and neither work half as well as primatene. i sure hope they come out with a new primatene."""
44,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
45,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
46,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
47,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
48,"""was first given this for a skin infection on face that began on younger daughter 12 then spread to mother and older daughter. it was like acne that would not heal and would scab and spread. worked well. """
49,"""(continued) so i went to my dr. asked to try the medication. i have to say, just because it works for someone you know doesnt mean it is gonna work for you. you lose wt or you lose money, either way, stay positive for your self and for those that had good experience.  i am on my 3 day. scared at 1st, cause i am taking other med for anxiety, depression and concentration. i have not had an issue with any side effects. i do make sure i drink water. i have to force myself to eat. training myself to put snacks in front of me. so, definitely curbs the appetite.  coming from a woman who is not afraid to eat. i had a problem eating. i would eat till i was miserable and bloated. so far not even close. hope to see good results. working out 40min/day"""
50,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
51,"""day 4.
i have already noticed changes.
pros:
- no desire to cry
- clear headed thought process
- no mood swings/feel balanced(have not had any mood swings since day 2. i usually had them like 4x within an hr)
- no angry outbursts or negative/hurtful comments towards people
- decrease in paranoia
- no longer feeling personally attacked by others
cons:
- trouble sleeping 
- teensy bit jittery 
- itchy(not much)
- definitely nauseous 
- trouble passing stool but not constipated 
- slight lightheadedness/ dizziness 
this is only day4 going on 5 so i am thinking my brain&body need time to adjust &balance out. so far i feel mentally, so much better. in control,i would say. only odd thing i noticed was random laughing. but hey i'm not complaining!"""
52,"""i had trouble getting to sleep, stuffy runny noise i am 43 years old i was on norvasc but my new doctor recommended this i stopped taking it maybe he can lower the dose"""
53,"""-not a very good one. complained to drs . about dry mouth,diarrhea, and numbness in toes. tingling at tip of fingers.  they dismissed it as nothing.  the numbness has progressed to my foot,legs,hands,arms.  have trouble walking without a cane because i loose my balance and have fallen many times."""
54,"""got my inserted bout 10 years ago !! worked magic for me! no problems no pain period flow normally . and yes i will leave it there for another 3-4 more years. totalling 13-14 years."""
55,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
56,"""got my inserted bout 10 years ago !! worked magic for me! no problems no pain period flow normally . and yes i will leave it there for another 3-4 more years. totalling 13-14 years."""
57,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
58,""" i have ibs with insomnia, 50 mg resolve my sleep problem and that of another other 57 patients , my  ibs-d improved 80% with the same medication. safe and life saving . have taken for 7 years"""
59,"""if you're bleeding for months straight you might want to go to a doctor because i've had this for almost 3 years and i haven't had a period since my first month i got it."""
60,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
61,"""i am 22 years old and have had 2 micro-disc surgeries on the l5. the first on 1/19/04, the second on 7/19/04. i'm 5'10"" 125lbs. for a couple years i relied heavily on ibuprofen due to lack of insurance, and was taking 8-16 a day depending on weather conditions and working conditions. i now have insurance and have been taking vicodin 500mg up to 3 times a day for almost a year now and live a more painfree life."""
62,"""i require large doses of high strength opiates after an accident left my spine irreversibly damaged and in excruciating intractable pain. as the media and public demonizes these drugs since addicts abuse/overdose, (a lifesaver for the people prescribed/deserving) the times where i've been unable to obtain my normal refill and shamed out of the er trying to explain i'm not a drug seeker have increased. i'm left in extreme pain along with withdrawal symptoms- a combination so incredibly brutally agonizing/horrific. one time i happened to have clonidine for anxiety 0.1, taking 2-4 every 4-6 hrs (no dr. would agree) and it relieved 70% of all symptoms. very, very tired, but 100% worth it."""
63,"""i had implanon for 5 months,then had it taken off.
good: -practically certain of not getting pregnant; -not having to remember it; -bigger breasts.
bad:
menstruated or had spotting for almost 3 of the 5 months, and menstruated in more quantity.
had 3 months of premenstrual syndrome (mood swings, irritability. very bad for my mental health and relationship.)
worsened my rhinitis allergy,  also very disruptive. my nose was inflammed like in rhinitis, despite maximum rhinitis medication. 
not so easy to stop: as it requires minor intervention, i kept waiting that side effects would pass.
i advise trying oral progesterones a few months first.
not advisable for low stature and weight (55kg), bad pms, depressive history or rhinitis."""
64,"""""i have spondylolisthesis, l4/l5-s1, 2 bulging discs, and stenosis. after my 2nd fusion surgery i was prescribed gabapentin. i found i would forget what i was talking about in the middle of a sentence, and acute disorientation! i remember i had just finished paying for my groceries and the next thing i knew i woke up in the er! i guess i became very disoriented in the store. i was fine after ""waking"" & took a taxi back to the store. i had no clue what had happened! about a week later i was heading to physical therapy, blacked out and hit a tree, totalling my car. i suspected the gabapentin, as that was the only ""new med"" for me. i was told it was making me irritable and combative (still don't remember that). i quit taking it & problem gone!"""
65,"""-the mirena iud insertion was about an 8/10 on pain scale. after i left the procedure, i had zero pain that night and wasn't limited in any way. in the weeks following i had minor cramping. i had my period for about two straight months following insertion. 
-i had my mirena inserted in march, and it is now mid-july. i get my period at least once month, sometimes with heavy cramping on day 1.  
-my biggest word of caution is regarding weight gain. post insertion i've had a lot of issues maintaining my weight and i am truly consistent with what i eat. i've gained 10 pounds w/o changing my diet. it is very hard to the lose weight. i'm now 3 mo.  post insertion and my weight has suddenly levelled back out, with no changes to my diet. super weird."""
66,"""i have lost 18lb but the side effects r:  severe groin pain - severe leg cramps- muscle spasms - blurred vision- chest pains- unable to sleep good- cannot walk right- shoulder bone aches - i thought it was due to age- but its not!  even though i have lost weight its not worth feeling the way i feel!  i'm not going to take this med any longer!  i have taken 2 other weight loss meds that did not work - this med worked but the side effects r horrible!  i would not recommend to anyone!"""
67,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
68,"""propranolol is honestly one of the best things in the freakin universe. i’ve struggled tremendously with debilitating presentation/public speaking anxiety for the past 13 years of my life.  i’ve been prescribed xanax and lexapro to aide with my anxiety, but xanax made me so foggy to the point of stupidity and lexapro is a daily medication, while my anxiety is strictly situational. just take 30 mg an hour to an hour and a half before your presentation, or speech and you will kill it. reading short paragraphs out loud, or even introducing myself to a large group of people would be straight up impossible for me - but with propranolol, that’s all gone away. seriously. try it. you’ll be that person volunteering to present and read aloud :)"""
69,"""i started using phentermine 30mg on 2/1/14. my starting weight was 216 (i'm 5'3"")...on 2/8/14 i weighed in at 209 and on 2/15/14 i weighed in at 205 (while on my period, which usually makes me gain 4-6 lbs)  11 lbs in two weeks is soooo motivating.  i was recommended the atkins diet but i workout really hard (power lift, insanity, boot camp) so for the past two weeks i didn't do the practically no carb plan i was given, but i did lower my carbs significantly (i used to eat a lot of oats, wheat bread, sweet potato) the doctor said i'm doing great because most people my age, height, and starting weight, lose about 10lbs a month.  phentermine curbs my appetite  like nothing ever has and i'm loving my results so far. i'll update next week."""
70,"""""absolutely"" amazing. 10 out of 10. only mild headache as a side effect for approximately 4-5 hours. but this medicine is a miracle. i took 100 mg as a dose like 45 minutes before intercourse and it did wonders. we made love 6 times non-stop and i think we could continue. saved my whole relationship. owe that to pfizer."""
71,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
72,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
73,"""i was retaining 30 ounces of urine after going to restroom had cath. for one week put on flomax symptoms gone with in few weeks only had mild side effects get up once a night now"""
74,"""-not a very good one. complained to drs . about dry mouth,diarrhea, and numbness in toes. tingling at tip of fingers.  they dismissed it as nothing.  the numbness has progressed to my foot,legs,hands,arms.  have trouble walking without a cane because i loose my balance and have fallen many times."""
75,"""i got this about 2 weeks ago, and it works amazingly. my acne is completely gone. only thing is if you miss a treatment your acne will come back right away. you have to be very committed"""
76,"""i'm two days after gallbladder removal and was given this during anesthesia. pain prior to surgery was excruciating but the all over pain from this is debilitating. every leg, arm, stomach muscle is hurting to the point it's difficult to move anything. even my jaws hurt. i will never use this drug again; i will deem myself allergic. i've recently had both hips replaced and was given a different muscle relaxant during those surgeries that did not cause any post operative pain. i'd never thought to ask about anesthesia drugs prior to surgeries. due to the horrible pain i've experienced with succinylcholine, i will be certain to ensure its never used on me again.  other sufferers say it lasts about 4 days. i hope that's the outcome."""
77,"""took one, waited about 45 minutes, there was some minor cramping right before i had to go, went to the bathroom and was hard pushing it out but it did come and now i feel so relieved and overall would recommend it."""
78,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
79,"""this is the only medication i have found that has worked in combination with my other medications in ten years for my bi polar and i'm very pleased with the results!"""
80,"""i took this pill immediately had trouble breathing nausea diarrhea, followed by a month so far of getting my period twice sore breasts, weight gain weakness, tiredness, heavy cramps lower back pain bone crushing headaches, mood changes, hot flashes and worst of all lethargic out of it brain fog. the worst mistake i made taken this garbage i would have rathered been pregnant. my advice is don't take it its poison."""
81,"""i have been given vicodin for severe migraines, back pain, wisdom tooth removal and kidney infection with kidney stones. it never fails to make me feel nauseous, give me headaches, and make it incredibly difficult to function at times  but it did take away my pain. after my last er visit i asked for something other than vicodin, they gave me percocet and it works well with minimal side effects."""
82,"""just took my first dose 5 mg of brintellix - have been on every possible medication including wellbutrin for 15 years, seroquel for 9 years, lexapro for 2 years, just weaned off lexapro.  i feel quite odd, butterflies in stomach and brain fog - my daughter has been on brintellix for 2 months and is still vomiting - if this continues, another failed med."""
83,"""i have been given vicodin for severe migraines, back pain, wisdom tooth removal and kidney infection with kidney stones. it never fails to make me feel nauseous, give me headaches, and make it incredibly difficult to function at times  but it did take away my pain. after my last er visit i asked for something other than vicodin, they gave me percocet and it works well with minimal side effects."""
84,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
85,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
